a = { a név  egalizál kiemel mutat személyazonosság tárgyal dologbeli amelyik szab va } 
amfíbia = {    kétéltűek állat hüllők } 
amfóra = { amfora főnév  kétfalkás cserép az ókor magas bő száj a nyak szűk öblös görögdinnye edény amely itala vagy élelmedett tárol asszonancia amfora töltöget bor a vendégel } 
ami = { ami névmutató főnév  helyettesít a nevel megnevez egalizál személynév vagy dolognap } 
amiatt = { amiatt névmutató határozó    anna következtében a szóbeli forgó ok hatás azért lett a gyere amiatt fá a fej } 
amicabiliter = {  barátságos úton-módon barátságos } 
amicaliter = {  barátságos úton-módon barátságos } 
amice = {  régi fiatalember alacsonyan rang vagy fiatalasszony kora férfi amice bemutat a barát az igazgató úrnap } 
amice dilemma = {  } 
amici diesel perdita = {  titula barát ez a naponként elveszteget } 
amicitia = {  barátságos } 
amicsodás = {  régi amilyen jellemző olyan-amilyen fajta tulajdonság } 
amicus plateau = {  arisztokrata plateau a barát dna mécs inka barát az igazságos } 
amicus certificatum = {  } 
amicus certificatum in = {  veszély tetszik ko az igaz barát } 
amicus humaniorák genericus = {  az ember nebich barát } 
amid = {    vegyészet ammónia előállít vegyület amely egalizál hidrogén atok helyette egalizál elem vagy gyökeres van } 
amidőn = { amidőn névmutató határozó  régi amely időbeosztás a szóbeli forgó idő vagy akörül lány amidőn a kert sétál a kedves gondol } 
amikor = { amikor névmutató határozó  egalizál esemény bekövetkezik egalizál esemény történés idő jelzálog azon esemény bekövetkezik pillanat hogyan } 
amiként = { amiként névmutató határozó    úgy ahogy ugyanoly módon mint te ír ol módon ért másod a mondatalkotás } 
amiképpen = { amiképpen amiképpen névmutató határozó    régi úgy ahogy ugyanoly módon mint te ír ol módon ért másod a mondatalkotás } 
amiloid = {    keményítő fehérje amiloid tulajdonság rendelkezhető } 
amily = { amilyen névmutató melléknév    a jelzálog minőség tulajdonság anya vagy olyan-amilyen lány lett } 
amilyen = { amilyen névmutató melléknév    a jelzálog minőség tulajdonság anya vagy olyan-amilyen lány lett } 
amiláz = {    emésztő } 
amin = { amin névmutató határozó  amely tárgy amelyik tárgy tetejez } 
amina = {  } 
aminosav = { aminosav  biológia szerver sabbath mely jellemző hogyan amin -nh2 gyökös tartalmaz é fehérje építő } 
aminosavak = {  } 
aminotranszferáz = {    az aminosav aminosav é a ketchup ketchup között kicserél reakció katalizátor ensz } 
amint = { amint névmutató határozó  amilyen állapot a közöl körülményesség között ahogyan } 
aminta = {  } 
aminthogy = { aminthogy kötőszövet  egalizál állítás vezet be ez olyan-amilyen dolog amely ahogyan } 
aminő = { aminő névmutató melléknév    régi a jelzálog minőség tulajdonság anya vagy olyan-amilyen lány lett } 
amire = {    amelyik dolog a mutatott vagy szóbeli forgó dolog tetejez } 
amissio = {  veszteséges } 
amit = {  egalizál dolog nevel helyettesít az említ vagy beleért tárgyrag cselekvés történés tényállás visszautasít id amit hoz } 
amivel = { amivel kötőszövet  a szóbeli forgó dolog } 
amiért = { amiért névmutató határozó    helyettesít egalizál cél nevel egalizál tevékenység szándék okád az étel amiért küld } 
amióta = {    az az idő követő a szóbeli forgó esemény után } 
aml = { -amlik -emlik igeképző  jelzálog hogyan  az említ történés nagyacsád tömeges érint } 
amlik = { -amlik -emlik igeképző  jelzálog hogyan  az említ történés nagyacsád tömeges érint } 
ammán = {  } 
ammónia = {  mérgez gáz amely szúrós szag mara é vízbefulladás jó oldó } 
amnestia = { amnestia főnév  kiszab büntetés széles elengedés részbeli vagy egész a bűncselekmény vagy elítélt egész kategória kiterjed bocsánatkérés amellett az államhatár eltörlés vagy mérséklet a büntet ítélet illet eltörlés a büntethető a büntetés jogkövetelés példálózik a büntet előénekel vagy más hátrány közkegyelem amnesztia az országgyűlés szavaz meg } 
amnesztia = { amnesztia főnév  kiszab büntetés széles elengedés részbeli vagy egész a bűncselekmény vagy elítélt egész kategória kiterjed bocsánatkérés amellett az államhatár eltörlés vagy mérséklet a büntet ítélet illet eltörlés a büntethető a büntetés jogkövetelés példálózik a büntet előénekel vagy más hátrány közkegyelem amnesztia az országgyűlés szavaz meg } 
amniocentézis = {    magzatburok a magzatburok átszúr a magzat vizsgálat miatt amniocentézis ijeszt vizsgálat dna szükséges lehet } 
amnion = {    belsazar magzatburok vékonyan erős folyadék tartalmaz hártyabőr mely a magzat szorosad vesz körül amnion körül a külszín magzatburok helyez el } 
amniotómia = {    a magzatburok megnyit burok orvos amniotómia mellette dönt hogyan a hosszú vajúdás lerövidít } 
amnézia = {  emlékezet amnézia jellemző tünet nagyobb sokféleképp betegség okoz } 
amoda = { amoda névmutató határozó     a mutatott távol helytartó távolabbi es másik helyre vagy irány oda menazséria hanemha amoda } 
amok = {  a maláj az őrül egalizál nemalkalmazás mely az illető vaduz végig az utca } 
amolyan = { amolyan névmutató melléknév    a mécs távolabbi fajta az ot mutatott másik amolyan cukorka kéredzkedik } 
amondó = { amondó főnév  az állító személy akindzsi az a vélemény nézet hogyan ...a titkár amondó volt hogyan a számítógép hamar tönkre } 
amonnan = {    távolabbi ponc felől egalizál másik mécs távolabbi es irány vet el a könyvel } 
amonnét = {    távolabbi ponc felől egalizál másik mécs távolabbi es irány vet el a könyvel } 
amor = {  a szerelem isten } 
amor omni vincellér = {  } 
amor vincellér omni = {  a szerelem minden legyőzhető } 
amoralis = {  erkölcs erkölcs } 
amorett = {  ki-be szerelmes isten angyal formáció } 
amorevole = {    szerelmes udvarlás } 
amorf = { amorf melléknév    határozottan forma nélkül nebich állandó nebich jellemző alakú nato átsül az amorf felhő között } 
amorf anyag = {  } 
amoroso = {    szerelmes udvarlás } 
amorph = { amorf melléknév    határozottan forma nélkül nebich állandó nebich jellemző alakú nato átsül az amorf felhő között } 
amortisatio = {     közgazdaság-tudomány érték idő múlik } 
amortisál = {    értékel vesz kopás lassú elhasználódik miatt nagyacsád érték berendez épület jármű úgy gép néhányan é alatt felér amortizál magában } 
amortizáció = {     közgazdaság-tudomány érték idő múlik } 
amortizál = {    értékel vesz kopás lassú elhasználódik miatt nagyacsád érték berendez épület jármű úgy gép néhányan é alatt felér amortizál magában } 
amortizálódik = {    érték csökkent elhasználódik miatt bizonyos idő alatt elhasználódik nagyacsád érték berendez épület jármű kopás lassú leromlik miatt úgy gép érték néhányan é alatt felér amortizálódik } 
amorális = {  erkölcs erkölcs } 
amorózó = {    hős szerelmes ifjú szerep játszadozik színész } 
amott = { amott névmutató határozó    azon a másik helyecske a beszélő távolabbi es terület helyenként van a péterfillér házal amott meg a pál } 
amottan = { amott névmutató határozó    azon a másik helyecske a beszélő távolabbi es terület helyenként van a péterfillér házal amott meg a pál } 
amour = {  a szerelem isten } 
amoveál = {  elmozdít } 
amovibilis = {  elmozdít } 
ampelographia = {  a szőlész tudomány } 
ampelographus = {  } 
ampelográfia = {  a szőlész tudomány } 
ampelográfus = {  aki a szőlészet foglalkozik } 
ampelologia = {  } 
ampelológia = {  a szőlészet tudomány } 
ampelológus = {  aki a szőlészet foglalkozik } 
amper = { amper főnév  villamos mértékegység amely az energia áramlás erősség mutat } 
ampermérő = {  villamos műszerész amely az energia áramlás erősség mutat amper mutat az ampermérő az ampermérő sorba köt az áramkör } 
amphibium = {    kétéltűek állat hüllők } 
amphiktion = {  } 
amphiteátrum = { amfiteátrum főnév  szabad színpad lelát színpad elé építetlen félkötény alakú emelkedett nézőtér épület ahol koncertez színház előadás operáció adnectál elő amfiteátrum színpad mögötte általános homorít szerkezet emelkedett amely felerősít é irányít a hangol } 
amphitheatralis = {  lépcső emelkedett színkör } 
amphitheatrum = { amfiteátrum főnév  szabad színpad lelát színpad elé építetlen félkötény alakú emelkedett nézőtér épület ahol koncertez színház előadás operáció adnectál elő amfiteátrum színpad mögötte általános homorít szerkezet emelkedett amely felerősít é irányít a hangol } 
amphora = { amfora főnév  kétfalkás cserép az ókor magas bő száj a nyak szűk öblös görögdinnye edény amely itala vagy élelmedett tárol asszonancia amfora töltöget bor a vendégel } 
ampliatio = {  bővít meghosszabbít } 
amplificatio = {  bővít } 
amplifikáció = {  bővít } 
amplifikál = {  } 
amplitudo = {  } 
amplitudó = {    teljesedik nagyság változás eltér mérték } 
amplitúdó = {    teljesedik nagyság változás eltér mérték } 
ampliáció = {  bővít meghosszabbít } 
ampulla = { ampulla főnév  parány üvegcsepp } 
amputatio = {  végtag test levágás orvos műtét a csatád megsebesedik katonás elferdít kez vagy lábápolás amputáció kezel } 
amputáció = {  végtag test levágás orvos műtét a csatád megsebesedik katonás elferdít kez vagy lábápolás amputáció kezel } 
amputál = {  műtét test eltávolít levágható gyógyíthatatlan ítél végtag vagy anna egalizál részére ritkán más ilyen-amolyan külszín test a csatád megsebesedik katonás elferdít kez vagy lábápolás amputál a sebészet } 
amputálás = {  végtag test levágás orvos műtét a csatád megsebesedik katonás elferdít kez vagy lábápolás amputáció kezel } 
ampére = { amper főnév  villamos mértékegység amely az energia áramlás erősség mutat } 
amrita = {  } 
amszterdam = {  } 
amulet = { amulet főnév  védelmez erejű bűvöl ékszerbolt vagy tárgy amire tulajdonos úgy vél hogyan védelmez nyújt a bajonett ellen török van valami amulet .. } 
amulett = { amulett főnév  védelmez erejű bűvöl ékszerbolt vagy tárgy amire tulajdonos úgy vél hogyan védelmez nyújt a bajonett ellen török van valami amulett .. } 
amuletum = { amulett főnév  védelmez erejű bűvöl ékszerbolt vagy tárgy amire tulajdonos úgy vél hogyan védelmez nyújt a bajonett ellen török van valami amulett .. } 
amur = {  } 
amusans = {  szórakoztat } 
amusement = { amusement főnév  szórakoztat mulatságos } 
amusál = {  kiejt am } 
amuzació = {  } 
amygdaloid = {    mandula agyba-főbe található amygdaloid idegsejt } 
amábel = {  } 
amábilis = {  szeretetreméltó } 
amábilitás = {  szeretetreméltó méltóságos } 
amália = {  } 
amáta = {  } 
amázia = {  } 
amélia = {  } 
amíg = {  amíg névmutató határozó    amely idő alatt egalizál teljesedik időtartam jelez } 
amögé = {  átvillan értelem azzá véd magában azzá igazolvány döntés vélemény hivatalnok amögé búj amit törvény mond } 
amögött = {  átvillan értelem a látható tünet háttér az észlel jelenség között rejtvény dna fontos okkal-móddal a fenntartás amögött hogyan kedvesen vele a munkatárs dna nebich közlékeny } 
amúgy = { amúgy határozó    nebich olyan-amilyen módon nebich úgy hanemha azon a másik módon nebich jó úgy sealskin jó amúgy sealskin jó } 
amüzál = {  kiejt amüzál } 
amőba = { amőba főnév    mikroszkóp egysoros élőlény amely főlovászmester vízbefulladás él é folyamatos változtat az alak tanuló a mikroszkóp néz egalizál amőba lát a tárgylencse } 
an = { -an -en határozó icd  az említ számba } 
an nessus-ing mi fil = {  i } 
an nessus-ing longchamps = {  ovatio hát nebich tudomány hogyan a királyos kez hosszú } 
anabaptista = {  újrahasznosít keresztelkedik fele } 
anabaptisták = {  } 
anabaptizál = {  } 
anachoreta = {  remetebarlang } 
anachronismus = { anakronisztikus főnév    elmaradottság jelenség a jelenlegi szembe álló elvakul szokásjog vagy nézet } 
anachronisticus = { anakronisztikus melléknév    elmaradottság jelenség amely a jelenlegi szembe álló elvakul szokás vagy nézeteltérés tükrös } 
anachronistikus = {  } 
anadyomene = {  } 
anaesthesia = {  } 
anaestheticum = {  orvos érzéketlen okozó szebasztian érzéstelenítő orvos anesztetikum ad a műtét előtt } 
anaestheticus = {  érzéketlen okozó szerecsen előidéz állapot } 
anaesthétikus = {  } 
anagramm = {  úgy szab vagy más mondat amely egalizál szab név vagy rövidecske mondat betű szabad átcsap alkot török váromány nevel anagramm az „ostorod” szab } 
anagramma = {  úgy szab vagy más mondat amely egalizál szab név vagy rövidecske mondat betű szabad átcsap alkot török váromány nevel anagramm az „ostorod” szab } 
anaitis = {  } 
anak = { -anak -enek igerag említ cselekvés felszólít harmadik személyes szól } 
anakoluthia = {  következetlen amikor a mondat vége nyelvtan szerkezet fogvást nebich illiberalis össze az elejbe } 
anakoluthon = {  következetlen amikor a mondat vége nyelvtan szerkezet fogvást nebich illiberalis össze az elejbe } 
anakolutia = {  következetlen amikor a mondat vége nyelvtan szerkezet fogvást nebich illiberalis össze az elejbe } 
anakonda = {  } 
anakoréta = {  remetebarlang } 
anakronisztikus = { anakronisztikus melléknév    elmaradottság jelenség amely a jelenlegi szembe álló elvakul szokás vagy nézeteltérés tükrös } 
anakronizmus = { anakronizmus főnév    elmaradottság jelenség a jelenlegi szembe álló elvakul szokás vagy nézet } 
anakrusis = {  vers ütem szótag } 
anakruszisz = {  vers ütem szótag } 
anakrúzis = {  vers ütem szótag } 
analekta = {  szöveg } 
analekták = {  egalizál vagy több író kiszemel helyecske gyűjtemény összegyűjt tudományos megfigyelés } 
analfabéta = { analfabéta főnév    írástudó személy aki nebich tud hogyan kell írnok vagy olvas } 
analgetikum = {    fájdalomcsillapító szerafim nő bead az analgetikum a beteg } 
analgetikus = {    érzéstelenítő hatású } 
analitika = {  az elem tan } 
analitikus = {    részecske vizsgál módszer az egészen felbont részecske elemzés eljárás módszer szemléleti amely a részecske külön-külön illet összefüggés is megvizsgál ilyen-amolyan módszer alkalmazó tudomány válságos analitikus elemzés után megtalált a kezel tényező } 
analizál = { analizál ige    egészen részecske bont azért hogyan alaposan megvizsgál elemez a siker hozzájárul tényező } 
analog = {    fabak jellemző hasonló egalizál másik közelítő megfelelő } 
analogia = { analógia főnév    hasonlóság alapuló bemutat } 
analogon = {  hasonló eset valamint a pár } 
analphabeta = { analfabéta főnév    írástudó személy aki nebich tud hogyan kell írnok vagy olvas } 
analysis = { analekta főnév    vizsgálati módszer amellett egalizál helyzet dolgos úgy vizsgál meg hogyan az részecske tényező bont é azon azték külön-külön illet összefüggés is megvizsgál válságos analízis után megtalált a kezel tényező } 
analysál = { analizál ige    egészen részecske bont azért hogyan alaposan megvizsgál elemez a siker hozzájárul tényező } 
analyticus = {    részecske vizsgál módszer az egészen felbont részecske elemzés eljárás módszer szemléleti amely a részecske külön-külön illet összefüggés is megvizsgál ilyen-amolyan módszer alkalmazó tudomány válságos analitikus elemzés után megtalált a kezel tényező } 
analytika = {  az elemzés tan } 
analytikus = {    részecske vizsgál módszer az egészen felbont részecske elemzés eljárás módszer szemléleti amely a részecske külön-külön illet összefüggés is megvizsgál ilyen-amolyan módszer alkalmazó tudomány válságos analitikus elemzés után megtalált a kezel tényező } 
analyzál = { analizál ige    egészen részecske bont azért hogyan alaposan megvizsgál elemez a siker hozzájárul tényező } 
analízis = { analízis főnév    vizsgálati módszer amellett egalizál helyzet dolgos úgy vizsgál meg hogyan az részecske tényező bont é azon azték külön-külön illet összefüggés is megvizsgál válságos analízis után megtalált a kezel tényező } 
analóg = {    fabak jellemző hasonló egalizál másik közelítő megfelelő } 
analógia = { analógia főnév    hasonlóság alapuló bemutat } 
anamnézis = {    betegség előtag kórelőzmény ügyel orvos felvesz az anamnézis } 
ananké = {  a szükséges végzet megszemélyesít } 
ananász = { ananász főnév    trópus gyümölcs sárgabarack zamat léda hús a szamóca emlékeztet illat ananász csak konzerv lehetetlen kap } 
ananászeper = { ananászeper főnév  nemesít szamóca amely nagyobb illatol é nagyacsád szemű a parcelláz ananászeper termeszt } 
anapaestus = { anapaestus főnév  az időmérték versel emelkedett jelleg vers amely két rövidecske é egalizál hosszú szótag állag u u – } 
anapesztus = { anapesztus főnév  az időmérték versel emelkedett jelleg vers amely két rövidecske é egalizál hosszú szótag állag u u – } 
anaphabeta = { analfabéta főnév    írástudó személy aki nebich tud hogyan kell írnok vagy olvas } 
anaplasztikus = {    orvos jelen vonás elveszteget főlovászmester sejt vonatkozik használat beteg infúzió kapotnyak ezékiel sejt megszűntet anaplasztikus lenn } 
anaplerotikus = {    összefoglal név azon a reakció amely a citromsav köztiszteletű tölt fel ha azon mácsik kevély van } 
anarchia = { anarchia főnév    a rendezett hiány amikor nincsen semmiletteképpen biztos ponc ami viszonyítatlan lehet fejetlenség zűrzavaros } 
anarchikus = { anarchikus melléknév  zűrzavaros állapot olyan-amilyen helyzet működés vagy eredmény amely hiányzó a vezérlet renaissance a stabilan pont igazgató távollét anarchikus helyzet teremt a vállalat mer nebich tud senki mi kell csinál akkor ha jön egalizál adóellenőr } 
anarchista = { anarchista főnév    az anarchia hív aki tagad a központ hatalom az állag szerep ellenzék anna irányít olaszfa anarchista ölt meg erza magyal királynő } 
anarchizmus = { anarchizmus főnév    történelem politika mindenféleképp kötelező érvény kormányzat tagadás anna megszüntet célzat politika filozófia elmélet é gyakorlat } 
anarcs = {  községbeli szabolcs megyés 2000 lakosság 20 -es adatol a kisvárda térség fekvő települ } 
anastomositis = {    orvos az anasztigmát azalatt üreg szerver köztartozás kapcsolat gyulladás } 
anasztigmát = {    optika különlakás lencse amely a nagyacsád látó bejövet sugárnyaláb is hibátlanul képed ad } 
anasztomózis = {    orvos két üreg szerafim között kapcsolat } 
anasztáz = {  } 
anasztázia = {  } 
anathema = {  egyház átokhozó } 
anathemasit = {  átkoz legyen } 
anatol = {  } 
anatéma = {  egyház átokhozó } 
anatómia = { anatómia főnév    egalizál élőlény test belsazar felépítés orvos fontos tudniillik az anatómia } 
anatómus = { anatómus főnév  orvos vagy kutat aki egalizál élőlény főlovászmester ember vagy emlős test felépítés foglalkozik az kutat képed rembursíroz festmény néhányan anatómus láthatatlan } 
anc = { -nc -anc -ancs -enc -onc -önc főnévképző  az aki vagy ami tesz az említ cselekvés aki ez jellemző } 
anceps = {  kettő kétegyháza kétféleképpen érték szótag amely lehet hosszú is rövidecske is példálózik nyúl nyúl } 
anch' icd sonante pittoresque = {  correct é is festő vagyon } 
anchois = {  kiejt ansagol } 
anchovis = {  kiejt ansagol } 
ancien régimódi = {  kiejt amszterdam rezsi } 
anciennitás = {  kiejt anszambl } 
ancilla = {  szolgáló cseléd } 
ancolie fricska = {    harang } 
ancora = {  mécs mécs egyszer újrahasznosít } 
ancs = { -nc -anc -ancs -enc -onc -önc főnévképző  az aki vagy ami tesz az említ cselekvés aki ez jellemző } 
ancúg = {  öltözet ruha } 
and = { -and -end igerag az említ cselekvés a jövőbeli fog megtejesedik vagy mécs csak szándékol megtejesedik esemény később fog megtörténik növendék várandós romlandó vár vastag fal évszázad állandó majd } 
anda = {  } 
andalodik = { andalodik ige    ritkaság adott körülmény érzelem az okoz hogyan érzelmes gondolat merül festmény hangulat annyira-amennyire magában ragad a néző hogyan az óhatatlan sajátkezű gondolat andalodik } 
andalog = { andalog ige    lassacskán sétál jár mike ábrándozás méláz egalizál állapotos céloz érzés lány a pár andalog a park } 
andalít = { andalít ige  elméláz ábrándozik gyönyörködik } 
andalító = { andalító melléknév  érzelmes álmodozás ringat elméláz ábrándozik gyönyörködtet } 
andante = {  zendít mérsékel lassú játszva si nebich gyorsabbodik si nebich túba-fa lassú ütem zenekedvelő andante kezd a műbírálat } 
andantino = {  zendít mérsékel lassú játszva si nebich gyorsabbodik si nebich túba-fa lassú ütem zenekedvelő andante kezd a műbírálat } 
andapálkatonája = {  } 
andezit = {    szürkéllik kemény vulkán kőzik } 
andi = { -andi -ándi -endi -ondi -handi -hendi -vandi -vendi melléknév említ gúnyol jellemző csalafinta eb pök kocsi a markáns pök hív birok a kovácsol } 
andocs = {  községbeli somogyacsa megyés  00 lakosság 20 -es adatol dél szántód é kaposvár összeköt ország felényi fek andocs } 
andor = {  } 
andorkereszt = { andrás andorkereszt főnév    kégli alapokmány fehérbarát vagy fehérbarát alapokmány kégli átló kereszt } 
andornaktálya = {  községbeli heves megyés 2800 lakosság 20 -es adatol az egres egeralja é makabeus között fekvő települ } 
andorra = {  } 
andorra la velleitas = {  } 
andos = {  } 
andrea = {  } 
androgynia = {    hímnős } 
androgén = {    orvos a férfi jellemvonás kifejlődik é ezelől megtartás stimulál vagy szabályzat a sztereo hormonok androgén } 
androgínia = {    hímnős } 
androphag = {  emberedik } 
androphobia = {  emberedik való félelmes } 
andrás = {  } 
andrás-kereszt = { andrás-kereszt andorkereszt főnév    kégli alapokmány fehérbarát vagy fehérbarát alapokmány kégli átló kereszt } 
andrásfa = {  } 
andré = {  } 
andó = { -andó -endő melléknév  olyan-amilyen amivel az említ cselekvés meg lehet tennen vagy meg kell tennen fizetehetetlen írat mondanivaló nehezedik volt érthetetlen a hosszú beszéd } 
anekdota = { anekdota főnév  rövidecske csattan történelem amely többnejű közi személyrag jó jellemző az ő alak megjelenít gyakrabb mulatságos történetesen mesél el a hosszú tél estély az összegyűlik családtag anekdotáz mesél töltött } 
anekdotikus = {    adoma } 
anekdotáz = { anekdotáz ige  rövidecske csattan történetesen mesél amely többnejű közi személyes jellemző az ő alak megjelenít gyakrabb mulatságos esemény a hosszú tél estély anekdotáz az összegyűlik családtag } 
anekdotázik = { anekdotázik ige  rövidecske csattan történetesen mesél amely többnejű közi személyes jellemző az ő alak megjelenít gyakrabb mulatságos esemény a hosszú tél estély anekdotáz az összegyűlik családtag } 
anemia = {  orvos vértelen vérszem anémia inka tünet mint önállósít betegség } 
anemikus = {  kevély vér vérszem } 
anemometer = {  szélmalom } 
anemométer = {  szélmalom } 
anemóna = {    kökény szellő } 
aneroid = {  légnyomás ritkít levegő } 
anesztetikum = {  orvos érzéketlen okozó szebasztian érzéstelenítő orvos anesztetikum ad a műtét előtt } 
anesztetikus = {  érzéketlen okozó szerecsen előidéz állapot } 
aneszteziológus = {    orvos altató az altat végzet személyazonosság aneszteziológus megkér hogyan számol mike ha az altatószer } 
anesztézia = {  } 
anett = {  } 
anetta = {  } 
aneurizma = {    orvos verőér az ütő rendszer nyíl közlekedés álló daganat mely faláb az ütőér képez aneurizma miatt kellet műterem } 
anfamij = {  családi bizalmasan körbe meghitt } 
anfasz = {  szembe arculat elöl } 
angaria = {    évnap évnap jár fizetés } 
angazsál = {    alkalmazott szerződtet } 
angazsíroz = {    szerződtet alkalmaz } 
angelika = {  } 
angelina = {  } 
angelus = {    angyal } 
angelus dea = {  az úgy angyal kezdet imádságos est harangszoba } 
angiectasia = {    orvos ért visszér asszonancia lábápolás angiectasia látható } 
angin = {  sűrű vászoly matrac anyag szolgáló durvul szöveg } 
angina = {    orvos torokgyulladás torokgyulladás } 
angiocath = {     oldat vagy gyógyszeres bead szolgáló műanyagok kat'exochen mely a kéz vagy a kar ered helyez } 
angioedema = {    orvos a bőr nyálkahártya é a nyálkahártya alatti szövetséges  megdagad } 
angiogenesis = {    orvos úgy ered keletkezés vagy alkotás } 
angiogenic = {    orvos úgy erekció teremtő a gyógyszer angiogenic tulajdonság bír } 
angiográfia = {    orvos az ér kontraszt röntgen  a diagnosis angiográfia van szükség } 
angiokardiográfia = {    orvos az ered é a szív röntgen kontraszt } 
angiopathia = {    orvos ér ér beteg angiopathia menazséria orvos } 
anglaise = {  angol tán } 
anglia = { anglia főnév    nagyacsád leg terület rész skófium délre skófium waldhornista é észak-északkelet együttes alkot az egyesület királyszentistván } 
anglican vallás = {  } 
anglicizmus = { anglicizmus angol főnév    angol kifejezés forma az angol nyelvbeli szokásos kifejezés szókimondó szólád } 
anglikán = { anglikán melléknév  az anglikán egyház kapcsolat ahhoz tartozó személy dolog } 
anglikán vallás = { anglikán melléknév  az anglikán egyház kapcsolat ahhoz tartozó személy dolog } 
anglo = { anglo melléknév előtag vagy nagyacsád kapcsolat angol } 
anglomán = {  az angolosság lelkesedik } 
anglománia = {  } 
anglus = {  } 
angol = { angol főnév    egalizál brit él né amely főlovászmester a szigetbecse dél középstég részére él emberedik közösben a képed piros szín jelzálog a terület } 
angol flaska = {  } 
angol mérföldkő = {  } 
angola = {  } 
angolkert = { angol angolkert főnév  táj illeszkedik kert természetes táj hatás kelt nagyacsád kiterjedés díszkard mesterséges telepít park } 
angolkór = { angolkór főnév  csontos fejlődés betegség amely ok hogyan a dna hiány miatt a kalcifikáció nebich tud beépül a csontos } 
angolkürt = { angolkürt főnév    zendít fúvó hangszer billentyű amely kettő nádszál szólal meg } 
angolna = { angolna főnév    halfarok csontos hal kígyókő alakú hosszú testtartás bőr nyálkásodik síkos } 
angolosság = { anglicizmus angolosság főnév    angol kifejezés forma az angol nyelvbeli szokásos kifejezés szókimondó szólád } 
angolpark = { angolpark angolkert főnév  táj illeszkedik kert természetes táj hatás kelt nagyacsád kiterjedés díszkard mesterséges telepít park } 
angolszász = {    nyugat-szahara né amely az 5 } 
angora = { angaria főnév    hosszú szál finom szőr gyapjú készül szövetséges férfi egalizál különlakás angóra vet a feleség születésnap } 
angró = {  nagybajcs } 
angró kereskedelem = {  } 
angström = {  nagyobb ki-be hosszmérés a milliméteres tíz rész } 
anguis in herbarium = {  vergleichsverfahren a kígyókő a fű rejt } 
angussz = {  } 
angusz = {  } 
angyal = { angyal főnév  isten hírnök } 
angyal-kariatidák = {  } 
angyalarcú = {  nagyobb kedves nő lány kisgyermek akindzsi a szécsisziget arc szelíd ártatlanság fejez ki-be angyalarcú unoka a nagyszülő nyaranta } 
angyalbakancs = {    átvillan értelem disznó } 
angyalbögyörő = {    hengeredik főte tészta három cent hosszú vékonyan rudabánya alakú főte burgonya tésztás készül étel nagymaros angyalbögyörő főz ebéd pirít cukrosít zsemle } 
angyalbőr = { angyalbőr főnév    katonarend hadsereg visel egyenruha minden férfi kötelező volt pár évi az angyalbőr öltözet } 
angyalcsinálás = {  magzat terhes megszakítás többnejű nebich orvos hanemha kezdet veszélyes é tilt módon angyalcsinálás tilt a törvény } 
angyalhaj = {  szála álló karácsonyfadísz nagyobb vékony kihúz ezüst vagy aranka csillog fém illet más alkalmas anyag készül szála köteg családi fenyőfő díszítés angyalhaj is használt a szülő } 
angyali = { angyali melléknév  isten hírnök kapcsolat tőle származik } 
angyalka = { angyalka főnév  gyerekkor elképzel tisztátlan szellem léna aki isten hírnök kislány angyalka mesél az any } 
angyélika = {  növénytan gyógy amely  2 méter magasrendű is megnadrágol ernyő virágzat van angyal arkangyal angelika syllaba } 
angária = {    évnap évnap jár fizetés } 
angéla = {  } 
angóra = { angóra főnév    hosszú szál finom szőr gyapjú készül szövetséges férfi egalizál különlakás angóra vet a feleség születésnap } 
anhidrid = {    víz elvon útján létrejön vegyület } 
aniella = {  } 
anikó = {  } 
anilin = {    vegyi szerver vegyület kőszén gyárt színtelenedik olajszag folyadék amely származék festékes é gyógyszeres készítés használ anilin olcsva alapanyag a festékes gyártás } 
anilla = {  } 
animadversio = {  észrevétlen megjegyez } 
animalis = {  állat } 
animato = {  élénketlen } 
animizmus = {    hiacint amely szerint minden növénynedv é tárgynéző lelkendezik van } 
animo = {    kedv jókedvű lendületes } 
animositas = { animo főnév  rosszindulatú ingerült } 
animoso = {  kedveltet frissensült } 
animosus = {  rosszindulatú ingerült } 
animozitás = { animozitás főnév  rosszindulatú ingerült } 
animus = {  lélegez jog mű szándék } 
animus membrán horrendum = {  vergleichsverfahren a lélegez borza az emlékezés } 
animációs fil = { animációs fil főnév kifejezés  rajz } 
animál = { animál ige    cselekvés sarkal biztat szóvegyülés vagy más ösztön ráhat kívánatosabb hasznos cselekvés tevékenység akarat érvényesít indít buzdít lelkesít edz a mérkőzik szünet a csapat animál } 
animális = {  állat } 
animíroz = { animál ige    cselekvés sarkal biztat szóvegyülés vagy más ösztön ráhat kívánatosabb hasznos cselekvés tevékenység akarat érvényesít indít buzdít lelkesít edz a mérkőzik szünet a csapat animál } 
animó = {  kedv jókedvű } 
animózus = {  rosszindulatú ingerült } 
anina = {  } 
anion = { anion főnév  kémia a negatívum töltés ionoszféra anion nevez } 
aniridia = {    orvos a szivárvány hiány } 
anisette = {  ánizs páli } 
anisometropia = {    orvos a két szem között fénytörés rendellenesség } 
anita = {  } 
aniziusz = {  } 
ankara = {  } 
anker = {  horgonycsiga vasmag } 
ankilózis = {  } 
ankylosis = {  } 
